City,TechTag,Url,Country,IsPremium,FirstDetected,TechDescription,State,Lookup,Telephones,LastDetected,Social,TechName,Domain,CompanyName,TechCategories,TechLink,Postcode,Emails
Sydney,javascript,,AU,no,2015-05-06T04:30:32,"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-05-02T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,jQuery,builtwith.com,BuiltWith,JavaScript Library,http://jquery.com,2000,support@builtwith.com
Sydney,javascript,,AU,no,2013-03-26T13:00:00,"jQuery UI provides abstractions for low-level interaction and animation, advanced effects and high-level, themeable widgets, built on top of the jQuery JavaScript Library, that you can use to build highly interactive web applications.",NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-05-02T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,jQuery UI,builtwith.com,BuiltWith,jQuery Plugin | UI,http://jqueryui.com/,2000,support@builtwith.com
Sydney,mx,,AU,yes,2013-03-26T13:00:00,"Organize, prioritize and engage with others on support requests.",NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-30T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Zendesk,builtwith.com,BuiltWith,CRM | Ticketing System,http://www.zendesk.com/,2000,support@builtwith.com
Sydney,mx,,AU,no,2012-09-06T14:00:00,Namecheap email hosting solution.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2013-05-30T14:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Namecheap,builtwith.com,BuiltWith,Web Hosting Provider Email,http://www.namecheap.com/,2000,support@builtwith.com
Sydney,javascript,,AU,no,2011-12-18T13:00:00,"FancyBox is a tool for displaying images, html content and multi-media in a Mac-style ""lightbox"" that floats overtop of web page. ",NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-02-06T13:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Fancybox,builtwith.com,BuiltWith,Lightbox,http://fancybox.net/,2000,support@builtwith.com
Sydney,widgets,,AU,no,2012-12-31T13:00:00,Typekit is the easiest way to use real fonts on the web. It's a subscription-based service for linking to high-quality Open Type fonts from some of the worlds best type foundries. ,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2014-09-11T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Typekit,builtwith.com,BuiltWith,,http://typekit.com,2000,support@builtwith.com
Sydney,ads,,AU,no,2015-05-06T04:30:32,"DoubleClick enables agencies, marketers and publishers to work together successfully and profit from their digital marketing investments.",NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-26T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,DoubleClick.Net,builtwith.com,BuiltWith,,http://www.doubleclick.com,2000,support@builtwith.com
Sydney,widgets,,AU,maybe,2012-05-31T14:00:00,MailChimp is a widely used Mailng List delivery and support service.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2013-06-06T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,MailChimp,builtwith.com,BuiltWith,Feedback Forms and Surveys,http://www.mailchimp.com,2000,support@builtwith.com
Sydney,javascript,,AU,no,2011-05-02T14:00:00,Loads head scripts in parallel to prevent script blocking.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2013-06-06T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Head JS,builtwith.com,BuiltWith,,http://headjs.com/,2000,support@builtwith.com
Sydney,javascript,,AU,no,2011-05-02T14:00:00,sIFR replacement cufon with simpler and easier to use functionality. Shows fonts in a nice format.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2014-09-11T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,cufón,builtwith.com,BuiltWith,,http://wiki.github.com/sorccu/cufon/about,2000,support@builtwith.com
Sydney,mx,,AU,yes,2012-08-09T14:00:00,Campaign Monitor  sends email newsletters and helps see the results.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2014-10-06T02:37:08,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Campaign Monitor,builtwith.com,BuiltWith,Campaign Management,http://www.campaignmonitor.com/,2000,support@builtwith.com
Sydney,mx,,AU,yes,2012-08-09T14:00:00,Email delivery for web apps.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-30T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Postmark,builtwith.com,BuiltWith,Transactional Email,http://postmarkapp.com,2000,support@builtwith.com
Sydney,mx,,AU,no,2011-09-11T14:00:00,"Web-based email, calendar, and documents for teams. Renamed to Google Apps for Work, but now known as G Suite From Google Cloud.",NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-30T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Google Apps for Business,builtwith.com,BuiltWith,Business Email Hosting,http://www.google.com/a,2000,support@builtwith.com
Sydney,feeds,,AU,no,2011-01-03T13:00:00,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-02-15T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,RSS,builtwith.com,BuiltWith,,http://en.wikipedia.org/wiki/RSS_(file_format),2000,support@builtwith.com
Sydney,feeds,,AU,no,2011-01-03T13:00:00,FeedBurner is the leading provider of media distribution and audience engagement services for blogs and RSS feeds.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2013-06-06T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,FeedBurner,builtwith.com,BuiltWith,,http://feedburner.com,2000,support@builtwith.com
Sydney,Web Master,,AU,no,2011-01-03T13:00:00,The website has been registered at Yahoo Site Explorer.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2011-03-02T13:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Yahoo Site Explorer,builtwith.com,BuiltWith,,http://siteexplorer.search.yahoo.com/,2000,support@builtwith.com
Sydney,Web Master,,AU,no,2011-01-03T13:00:00,Webmaster tools provide you with a free and easy way to make your site more Google-friendly.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-02-15T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Google Webmaster,builtwith.com,BuiltWith,,http://www.google.com/webmasters/,2000,support@builtwith.com
Sydney,Web Master,,AU,no,2011-01-03T13:00:00,Site registered at MSN/Bing Webmaster.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2011-03-02T13:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,MSN/Bing Webmaster,builtwith.com,BuiltWith,,http://webmaster.live.com,2000,support@builtwith.com
Sydney,analytics,,AU,no,2015-05-06T04:30:32,Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-26T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Google Analytics,builtwith.com,BuiltWith,Application Performance | Audience Measurement | Visitor Count Tracking,http://google.com/analytics,2000,support@builtwith.com
Sydney,analytics,,AU,no,2011-01-03T13:00:00,Reinvigorate is a analytical tool that provides to the minute information about visitors to your site.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2011-03-02T13:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Reinvigorate,builtwith.com,BuiltWith,,http://reinvigorate.net,2000,support@builtwith.com
Sydney,widgets,,AU,maybe,2011-01-03T13:00:00,A feedback tool for users to offer suggestions for improvements to the site,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2011-03-02T13:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,UserVoice,builtwith.com,BuiltWith,Feedback Forms and Surveys,http://uservoice.com,2000,support@builtwith.com
Sydney,CDN,,AU,no,2011-01-03T13:00:00,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2014-05-21T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Content Delivery Network,builtwith.com,BuiltWith,,http://en.wikipedia.org/wiki/Content_Delivery_Network,2000,support@builtwith.com
Sydney,Web Server,,AU,no,2015-05-06T04:30:32,This website is running on a Microsoft IIS Server solution.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-26T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,IIS,builtwith.com,BuiltWith,Windows Web Server,http://www.microsoft.com/servers/home.mspx,2000,support@builtwith.com
Sydney,Web Server,,AU,no,2011-01-03T13:00:00,Internet-based services for servers using Microsoft Windows.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2014-09-15T05:12:20,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,IIS 7,builtwith.com,BuiltWith,Windows Web Server,http://www.iis.net,2000,support@builtwith.com
Sydney,framework,,AU,no,2015-05-06T04:30:32,"ASP.NET is a web application framework marketed by Microsoft that programmers can use to build dynamic web sites, web applications and XML web services. It is part of Microsoft's .NET platform and is the successor to Microsoft's Active Server Pages (ASP) technology.",NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-26T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,ASP.NET,builtwith.com,BuiltWith,Programming Language,http://www.asp.net,2000,support@builtwith.com
Sydney,hosting,,AU,no,2012-08-23T14:00:00,German based dedicated and virtual hosting running on 100% green energy.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2013-08-18T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Hetzner,builtwith.com,BuiltWith,Dedicated Hosting | German hosting,http://www.hetzner.de,2000,support@builtwith.com
Sydney,hosting,,AU,no,2014-01-08T23:00:00,OVH European based hosting solution.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-30T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,OVH,builtwith.com,BuiltWith,Canadian hosting | Dedicated Hosting | French hosting,http://www.ovh.co.uk,2000,support@builtwith.com
Sydney,javascript,,AU,no,2014-01-21T03:14:59,Adds sort ability to a bootstrap table.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-24T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Bootstrap Sortable,builtwith.com,BuiltWith,,https://github.com/drvic10k/bootstrap-sortable,2000,support@builtwith.com
Sydney,javascript,,AU,no,2014-01-21T03:14:59,Retina.js is an open source script that makes it easy to serve high-resolution images to devices with retina displays.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2016-10-15T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Retina JS,builtwith.com,BuiltWith,Media,http://retinajs.com/,2000,support@builtwith.com
Sydney,widgets,,AU,no,2014-01-21T03:14:59,D3-based library for building custom charts and graphs,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-24T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,xCharts,builtwith.com,BuiltWith,Charting,http://tenxer.github.io/xcharts/,2000,support@builtwith.com
Sydney,widgets,,AU,no,2014-03-04T23:05:28,"Allows users to Like items they find on the web, similar to how you Like items within Facebook.",NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2015-05-02T08:49:30,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Facebook Like,builtwith.com,BuiltWith,Social Sharing,http://developers.facebook.com/docs/reference/plugins/like,2000,support@builtwith.com
Sydney,mx,,AU,no,2014-04-09T23:00:00,The Sender Policy Framework is an open standard specifying a technical method to prevent sender address forgery.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-30T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,SPF,builtwith.com,BuiltWith,Standard,http://www.openspf.org/,2000,support@builtwith.com
Sydney,analytics,,AU,no,2014-04-24T03:56:51,"The analytics.js JavaScript snippet is a new way to measure how users interact with your website. It is similar to the previous Google tracking code, ga.js, but offers more flexibility for developers to customize their implementations.",NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-26T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Google Universal Analytics,builtwith.com,BuiltWith,,https://developers.google.com/analytics/devguides/collection/analyticsjs/,2000,support@builtwith.com
Sydney,Web Server,,AU,no,2015-05-06T04:30:32,Internet-based services for servers using Microsoft Windows.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-26T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,IIS 8,builtwith.com,BuiltWith,Windows Web Server,http://www.iis.net,2000,support@builtwith.com
Sydney,mx,,AU,no,2014-09-11T23:00:00,A technical specification created by a group of organizations that want to help reduce the potential for email-based abuse,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-02-01T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,DMARC,builtwith.com,BuiltWith,Standard,http://www.dmarc.org,2000,support@builtwith.com
Sydney,widgets,,AU,no,2015-05-06T04:30:32,"With Google sitelinks search box, people can reach your content more quickly from search results.",NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-26T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Sitelinks Search Box,builtwith.com,BuiltWith,Site Search,https://developers.google.com/webmasters/richsnippets/sitelinkssearch?utm_source=wmc-blog&utm_medium=direct-referral&utm_campaign=sitelinks-searchbox,2000,support@builtwith.com
Sydney,mobile,,AU,no,2015-05-06T04:30:32,This page uses the viewport meta tag which means the content may be optimized for mobile content.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-05-02T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Viewport Meta,builtwith.com,BuiltWith,,https://developers.google.com/speed/docs/insights/ConfigureViewport,2000,support@builtwith.com
Sydney,css,,AU,no,2014-10-22T23:00:00,A CSS media query to display specific CSS if a device greater than the minimum width specified.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-23T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Min Width,builtwith.com,BuiltWith,,http://www.w3.org/TR/css3-mediaqueries/,2000,support@builtwith.com
Sydney,css,,AU,no,2014-10-22T23:00:00,Media query to limit CSS to display for devices with a maximum width defined.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-23T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Max Width,builtwith.com,BuiltWith,,http://www.w3.org/TR/css3-mediaqueries/,2000,support@builtwith.com
Sydney,css,,AU,no,2015-03-03T00:00:00,"Describes the width of the output device (meaning the entire screen or page, rather than just the rendering area, such as the document window).",NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-24T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Device Width,builtwith.com,BuiltWith,,https://developer.mozilla.org/en-US/docs/Web/Guide/CSS/Media_queries#device-width,2000,support@builtwith.com
Sydney,css,,AU,no,2015-03-03T00:00:00,CSS Orientation Media Query,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-24T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Orientation,builtwith.com,BuiltWith,,https://developer.mozilla.org/en-US/docs/Web/Guide/CSS/Media_queries#orientation,2000,support@builtwith.com
Sydney,css,,AU,no,2015-03-03T00:00:00,"A media query to display different CSS based on the device pixel ratio. Standard screens have a pixel ratio of 1, retina devices have a pixel ratio greater than 1.",NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-23T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Device Pixel Ratio,builtwith.com,BuiltWith,,http://www.hongkiat.com/blog/css-retina-display/,2000,support@builtwith.com
Sydney,javascript,,AU,no,2015-05-06T23:00:00,"Google Hosted Libraries is a globally available content distribution network for the most popular, open-source JavaScript libraries.",NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-26T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Google Hosted Libraries,builtwith.com,BuiltWith,,https://developers.google.com/speed/libraries/,2000,support@builtwith.com
Sydney,javascript,,AU,no,2015-05-06T23:00:00,jQuery hoted at Google.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-26T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Google Hosted jQuery,builtwith.com,BuiltWith,,https://developers.google.com/speed/libraries/,2000,support@builtwith.com
Sydney,ssl,,AU,yes,2016-01-09T01:37:15,Comodo Extended Validation (EV) SSL certificates.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-30T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Comodo EV,builtwith.com,BuiltWith,Extended Validation,http://ssl.comodo.com/ev-ssl-certificates.php,2000,support@builtwith.com
Sydney,analytics,,AU,yes,2016-01-27T07:28:49,A behavioral and reputation based security solution. ,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2016-01-27T07:28:49,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Fireblade,builtwith.com,BuiltWith,Fraud Prevention,http://fireblade.com,2000,support@builtwith.com
Sydney,hosting,,AU,no,2016-03-21T23:00:00,This website is on an IP address not shared with other domains - it is more likely this website is not using shared hosting for this reason.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2017-11-07T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Dedicated Hosting,builtwith.com,BuiltWith,,https://en.wikipedia.org/wiki/Dedicated_hosting_service,2000,support@builtwith.com
Sydney,cdn,,AU,no,2016-06-08T23:00:00,"Amazon CloudFront is a web service for content delivery. It integrates with other Amazon Web Services to give developers and businesses an easy way to distribute content to end users with low latency, high data transfer speeds, and no commitments. ",NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-26T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,CloudFront,builtwith.com,BuiltWith,,http://aws.amazon.com/cloudfront/,2000,support@builtwith.com
Sydney,ssl,,AU,no,2016-10-30T23:00:00,The website redirects traffic to an HTTPS/SSL version by default.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-23T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,SSL by Default,builtwith.com,BuiltWith,,http://trends.builtwith.com/ssl,2000,support@builtwith.com
Sydney,mobile,,AU,no,2016-11-23T23:00:00,"This page contains an icon for iPhone, iPad and iTouch devices.",NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-05-02T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Apple Mobile Web Clips Icon,builtwith.com,BuiltWith,,http://developer.apple.com/library/iOS/#documentation/AppleApplications/Reference/SafariWebContent/ConfiguringWebApplications/ConfiguringWebApplications.html,2000,support@builtwith.com
Sydney,javascript,,AU,no,2017-09-10T23:00:00,TinySort is a small script that sorts HTMLElements.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-23T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,TinySort,builtwith.com,BuiltWith,,http://tinysort.sjeiti.com/,2000,support@builtwith.com
Sydney,javascript,,AU,no,2017-09-10T23:00:00,typeahead.js is an autocomplete library from Twitter.,NSW,builtwith.com,+61-300-558745 | +1-650-618-3949,2018-04-23T23:00:00,http://twitter.com/builtwith | http://facebook.com/builtwith | http://linkedin.com/company/builtwith | http://google.com/+builtwithdotcom,Typeahead.js,builtwith.com,BuiltWith,,https://github.com/twitter/typeahead.js,2000,support@builtwith.com
